"REID","Record Type Desc","Parcel Status Desc","Property Class Desc","Sale Date","Sale Price","Sale Type Desc","Sale Status Desc","Sale Disqualification Reason Desc","Ownership Document Number"
3828,Sale,ACTIVE,RESIDENTIAL,"4/13/2022 12:00:01 AM",600000.00,PACKAGE,QUALIFIED,,2323621
3831,Sale,ACTIVE,RESIDENTIAL,"4/4/2022 12:00:01 AM",85000.00,LAND,QUALIFIED,,2322186
3840,Sale,ACTIVE,RESIDENTIAL,"8/8/2022 12:00:01 AM",480000.00,PACKAGE,QUALIFIED,,2340408
3850,Sale,ACTIVE,RESIDENTIAL,"2/1/2022 12:00:01 AM",599900.00,PACKAGE,QUALIFIED,,2313086
3891,Sale,ACTIVE,RESIDENTIAL,"7/25/2022 12:00:01 AM",382500.00,PACKAGE,QUALIFIED,,2338431
3948,Sale,ACTIVE,RESIDENTIAL,"3/4/2022 12:00:01 AM",520000.00,PACKAGE,QUALIFIED,,2317600
3951,Sale,ACTIVE,RESIDENTIAL,"5/26/2022 12:00:01 AM",532000.00,PACKAGE,QUALIFIED,,2330222
3983,Sale,ACTIVE,RESIDENTIAL,"5/18/2022 12:00:01 AM",635000.00,PACKAGE,QUALIFIED,,2328948
3994,Sale,ACTIVE,RESIDENTIAL,"2/4/2022 12:00:01 AM",600000.00,PACKAGE,QUALIFIED,,2313538
4000,Sale,ACTIVE,RESIDENTIAL,"4/1/2022 12:00:01 AM",675000.00,PACKAGE,QUALIFIED,,2321754
4072,Sale,ACTIVE,RESIDENTIAL,"7/26/2022 12:00:01 AM",630000.00,PACKAGE,QUALIFIED,,2338522
4129,Sale,ACTIVE,RESIDENTIAL,"10/12/2022 12:00:01 AM",335000.00,PACKAGE,QUALIFIED,,2349524
4140,Sale,ACTIVE,RESIDENTIAL,"8/19/2022 12:00:01 AM",271000.00,PACKAGE,QUALIFIED,,2342738
4172,Sale,ACTIVE,RESIDENTIAL,"4/1/2022 12:00:01 AM",285000.00,PACKAGE,QUALIFIED,,2321879
4181,Sale,ACTIVE,RESIDENTIAL,"5/13/2022 12:00:01 AM",850000.00,PACKAGE,QUALIFIED,,2328327
4199,Sale,ACTIVE,RESIDENTIAL,"1/24/2022 12:00:01 AM",592000.00,PACKAGE,QUALIFIED,,2311424
4225,Sale,ACTIVE,RESIDENTIAL,"6/21/2022 12:00:01 AM",289000.00,PACKAGE,QUALIFIED,,2333664
4254,Sale,ACTIVE,RESIDENTIAL,"3/22/2022 12:00:01 AM",448000.00,PACKAGE,QUALIFIED,,2320129
4297,Sale,ACTIVE,RESIDENTIAL,"3/28/2022 12:00:01 AM",300000.00,PACKAGE,QUALIFIED,,2321064
4326,Sale,ACTIVE,RESIDENTIAL,"12/28/2022 12:00:01 AM",240000.00,LAND,QUALIFIED,,2357571
4333,Sale,ACTIVE,RESIDENTIAL,"10/4/2022 12:00:01 AM",699000.00,PACKAGE,QUALIFIED,,2348606
4342,Sale,ACTIVE,RESIDENTIAL,"3/7/2022 12:00:01 AM",890000.00,PACKAGE,QUALIFIED,,2317897
4502,Sale,ACTIVE,RESIDENTIAL,"4/27/2022 12:00:01 AM",397500.00,PACKAGE,QUALIFIED,,2325602
4538,Sale,ACTIVE,RESIDENTIAL,"7/13/2022 12:00:01 AM",365000.00,PACKAGE,QUALIFIED,,2336963
4539,Sale,ACTIVE,RESIDENTIAL,"1/19/2022 12:00:01 AM",425000.00,PACKAGE,QUALIFIED,,2310617
4554,Sale,ACTIVE,RESIDENTIAL,"7/1/2022 12:00:01 AM",377700.00,PACKAGE,QUALIFIED,,2335323
4555,Sale,ACTIVE,RESIDENTIAL,"7/19/2022 12:00:01 AM",403345.00,PACKAGE,QUALIFIED,,2337573
4557,Sale,ACTIVE,RESIDENTIAL,"5/24/2022 12:00:01 AM",426795.00,PACKAGE,QUALIFIED,,2329778
4613,Sale,ACTIVE,RESIDENTIAL,"6/10/2022 12:00:01 AM",1240000.00,PACKAGE,QUALIFIED,,2332481
4662,Sale,ACTIVE,RESIDENTIAL,"8/19/2022 12:00:01 AM",559500.00,PACKAGE,QUALIFIED,,2342875
4670,Sale,ACTIVE,RESIDENTIAL,"6/30/2022 12:00:01 AM",455000.00,PACKAGE,QUALIFIED,,2335052
